seafaring,marinaio
pitch black,nero come la pece
trade route,rotta commerciale
mutiny,ammutinamento
settlement,accampamento
expedition,spedizione
explorer,esploratore
settler,colone
patron,finanziatore
privateer,corsaro
nausea,nausea
tablet,pasticca e pastiglia
passenger seat,posto passeggero
hood,cofano 
healight,luci frontali 
brake,freno
bonnet,cofano
windshield/windscreen,parabrezza
famine,carestia 
dearth,scarsita
reconnaisence,ricognizione e esplorazione
trench,trincea
entrenchment,trincia e  riparo
reign,regno
fleet,flotta
charter,statuto costitutivo
heir,erede
vertigo,vertigin
injection,iniezione
clastrophobia,clautrofobia
mosquito net,rete di protezione per zanzare
flesh,carne umana
bank,altura e  tumolo o argine
loyal,leale
mutinous,che ammutina
fleet,(poe) veloce e  agile e evanescente
shrewd,clever and astute
plentiful,more than enough
westward,towards the west
on behalf of,per conto di
take for a service,in manutenzione
take a look under the hood,guardare approfonditament
bound to,obbligato a in senso positivo 
hand in notice,rassegnare le dimissioni
keep you hair up,calm down 
keep fingers crossed,sperare
keep it up,do something at the same speed
turn back,ritirarsi
span,estendersi: to include all of a particular space or area
break out,start to happen
mutiny,ammutinare
cut down on,smetterla
take up,incominciare e avviare
live off,get by
put oneself in the shoes,mettersi nei panni
have a go,fare un tentativo 
stand on your own two feet,stare sulle proprie gambe
to sip,sorseggiare
wipe,pulire
wipe out,spazzar via 
entrench,forticare
charter,condere statuto e  istituire
take over,take control of something
erase,cancellare e rimuovere
disembark,to land
set sail,begin a journey with a boat
behead,decapitare
fill up,riempirsi
hire,assumere
overflow,(fiume) straripare
